Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Stephen Curry,10700,Bkn@GS 10:30PM ET,55.375,GS
SG,James Harden,10100,Dal@Hou 08:00PM ET,49.125,Hou
SF,LeBron James,9900,Cle@Mil 08:30PM ET,47.969,Cle
C,Andre Drummond,9500,Det@LAC 03:30PM ET,51.063,Det
PF,Blake Griffin,9300,Det@LAC 03:30PM ET,45.056,LAC
PG,John Wall,8900,Orl@Was 07:00PM ET,41.500,Was
PG,Chris Paul,8600,Det@LAC 03:30PM ET,34.464,LAC
PF,Greg Monroe,8200,Cle@Mil 08:30PM ET,39.083,Mil
SF,Kawhi Leonard,8200,Phi@SA 08:30PM ET,39.750,SA
SG,Eric Bledsoe,8100,Den@Pho 09:00PM ET,42.094,Pho
PF,Kevin Love,7900,Cle@Mil 08:30PM ET,40.250,Cle
C,DeAndre Jordan,7500,Det@LAC 03:30PM ET,34.083,LAC
C,Dwight Howard,7400,Dal@Hou 08:00PM ET,41.600,Hou
PG,Reggie Jackson,7400,Det@LAC 03:30PM ET,36.625,Det
SG,Victor Oladipo,7400,Orl@Was 07:00PM ET,34.278,Orl
C,Nikola Vucevic,7300,Orl@Was 07:00PM ET,34.125,Orl
SF,Giannis Antetokounmpo,7300,Cle@Mil 08:30PM ET,32.750,Mil
PG,Brandon Knight,7100,Den@Pho 09:00PM ET,35.375,Pho
C,Jahlil Okafor,7100,Phi@SA 08:30PM ET,33.594,Phi
PF,LaMarcus Aldridge,7000,Phi@SA 08:30PM ET,31.563,SA
PF,Draymond Green,7000,Bkn@GS 10:30PM ET,36.025,GS
PF,Nerlens Noel,7000,Phi@SA 08:30PM ET,32.875,Phi
C,Brook Lopez,6900,Bkn@GS 10:30PM ET,36.313,Bkn
SG,Bradley Beal,6900,Orl@Was 07:00PM ET,34.958,Was
SG,Klay Thompson,6700,Bkn@GS 10:30PM ET,27.375,GS
PG,Kyrie Irving,6700,Cle@Mil 08:30PM ET,0,Cle
PF,Dirk Nowitzki,6500,Dal@Hou 08:00PM ET,33.063,Dal
PF,Kenneth Faried,6400,Den@Pho 09:00PM ET,31.344,Den
PG,Mo Williams,6300,Cle@Mil 08:30PM ET,30.813,Cle
SF,Marcus Morris,6300,Det@LAC 03:30PM ET,32.094,Det
PG,Michael Carter-Williams,6300,Cle@Mil 08:30PM ET,32.875,Mil
SF,Evan Fournier,6300,Orl@Was 07:00PM ET,30.333,Orl
SF,Danilo Gallinari,6200,Den@Pho 09:00PM ET,29.531,Den
C,Tim Duncan,6000,Phi@SA 08:30PM ET,28.969,SA
PG,Emmanuel Mudiay,6000,Den@Pho 09:00PM ET,30.281,Den
SG,Marcus Thornton,5900,Dal@Hou 08:00PM ET,31.917,Hou
SF,Tobias Harris,5900,Orl@Was 07:00PM ET,29.306,Orl
PG,Ty Lawson,5800,Dal@Hou 08:00PM ET,26.469,Hou
PF,Markieff Morris,5800,Den@Pho 09:00PM ET,23.188,Pho
SG,Khris Middleton,5800,Cle@Mil 08:30PM ET,25.444,Mil
PG,Deron Williams,5700,Dal@Hou 08:00PM ET,25.500,Dal
PF,Thaddeus Young,5700,Bkn@GS 10:30PM ET,27.250,Bkn
PF,Terrence Jones,5700,Dal@Hou 08:00PM ET,15.333,Hou
C,Zaza Pachulia,5600,Dal@Hou 08:00PM ET,27.000,Dal
SF,Joe Johnson,5500,Bkn@GS 10:30PM ET,26.188,Bkn
PG,Jarrett Jack,5500,Bkn@GS 10:30PM ET,28.357,Bkn
SF,Trevor Ariza,5500,Dal@Hou 08:00PM ET,25.313,Hou
SF,Wilson Chandler,5500,Den@Pho 09:00PM ET,0,Den
PG,Elfrid Payton,5500,Orl@Was 07:00PM ET,25.000,Orl
PG,T.J. McConnell,5400,Phi@SA 08:30PM ET,26.031,Phi
C,Jusuf Nurkic,5400,Den@Pho 09:00PM ET,0,Den
C,Tyson Chandler,5300,Den@Pho 09:00PM ET,23.813,Pho
C,Marcin Gortat,5300,Orl@Was 07:00PM ET,24.821,Was
SF,Harrison Barnes,5300,Bkn@GS 10:30PM ET,25.850,GS
SF,Otto Porter,5200,Orl@Was 07:00PM ET,25.286,Was
SG,Kentavious Caldwell-Pope,5100,Det@LAC 03:30PM ET,24.750,Det
PF,Tristan Thompson,5000,Cle@Mil 08:30PM ET,23.719,Cle
PG,Tony Wroten,4900,Phi@SA 08:30PM ET,0,Phi
SF,Andre Iguodala,4800,Bkn@GS 10:30PM ET,23.350,GS
PG,Jerryd Bayless,4800,Cle@Mil 08:30PM ET,23.750,Mil
SG,Nik Stauskas,4800,Phi@SA 08:30PM ET,23.000,Phi
PF,Clint Capela,4800,Dal@Hou 08:00PM ET,21.188,Hou
SF,Robert Covington,4700,Phi@SA 08:30PM ET,11.500,Phi
PF,Dwight Powell,4700,Dal@Hou 08:00PM ET,23.875,Dal
SF,Jerami Grant,4700,Phi@SA 08:30PM ET,22.656,Phi
C,Andrew Bogut,4600,Bkn@GS 10:30PM ET,21.313,GS
C,Festus Ezeli,4600,Bkn@GS 10:30PM ET,21.750,GS
PF,Donatas Motiejunas,4600,Dal@Hou 08:00PM ET,0,Hou
SG,Wesley Matthews,4500,Dal@Hou 08:00PM ET,17.786,Dal
PF,J.J. Hickson,4500,Den@Pho 09:00PM ET,18.036,Den
SG,J.J. Redick,4400,Det@LAC 03:30PM ET,20.156,LAC
SG,Manu Ginóbili,4300,Phi@SA 08:30PM ET,23.875,SA
PG,Matthew Dellavedova,4300,Cle@Mil 08:30PM ET,21.906,Cle
SG,Will Barton,4300,Den@Pho 09:00PM ET,22.625,Den
PG,Tony Parker,4200,Phi@SA 08:30PM ET,18.875,SA
SG,J.R. Smith,4200,Cle@Mil 08:30PM ET,13.550,Cle
PG,Brandon Jennings,4200,Det@LAC 03:30PM ET,0,Det
C,Dewayne Dedmon,4200,Orl@Was 07:00PM ET,19.219,Orl
C,Joffrey Lauvergne,4200,Den@Pho 09:00PM ET,23.083,Den
SG,Danny Green,4100,Phi@SA 08:30PM ET,18.875,SA
SF,Chandler Parsons,4000,Dal@Hou 08:00PM ET,10.100,Dal
PG,Isaiah Canaan,4000,Phi@SA 08:30PM ET,20.656,Phi
C,Timofey Mozgov,4000,Cle@Mil 08:30PM ET,16.563,Cle
SF,Aaron Gordon,4000,Orl@Was 07:00PM ET,18.000,Orl
PF,John Henson,3900,Cle@Mil 08:30PM ET,14.750,Mil
SG,Jamal Crawford,3800,Det@LAC 03:30PM ET,16.444,LAC
PG,Jameer Nelson,3800,Den@Pho 09:00PM ET,19.583,Den
PG,J.J. Barea,3800,Dal@Hou 08:00PM ET,19.125,Dal
PF,Ersan Ilyasova,3800,Det@LAC 03:30PM ET,15.781,Det
PG,Greivis Vasquez,3800,Cle@Mil 08:30PM ET,18.750,Mil
SG,O.J. Mayo,3800,Cle@Mil 08:30PM ET,0,Mil
SF,Bojan Bogdanovic,3800,Bkn@GS 10:30PM ET,18.781,Bkn
SF,T.J. Warren,3700,Den@Pho 09:00PM ET,17.000,Pho
PF,Jabari Parker,3700,Cle@Mil 08:30PM ET,12.563,Mil
PF,Kris Humphries,3600,Orl@Was 07:00PM ET,16.036,Was
SF,Corey Brewer,3600,Dal@Hou 08:00PM ET,14.906,Hou
SG,Iman Shumpert,3600,Cle@Mil 08:30PM ET,0,Cle
SG,Hollis Thompson,3600,Phi@SA 08:30PM ET,18.625,Phi
PG,Devin Harris,3500,Dal@Hou 08:00PM ET,16.969,Dal
SF,Paul Pierce,3400,Det@LAC 03:30PM ET,15.083,LAC
SF,Richard Jefferson,3400,Cle@Mil 08:30PM ET,14.250,Cle
SF,P.J. Tucker,3400,Den@Pho 09:00PM ET,14.250,Pho
SG,Gary Harris,3400,Den@Pho 09:00PM ET,17.875,Den
PF,Nene Hilario,3300,Orl@Was 07:00PM ET,16.625,Was
PG,Raymond Felton,3300,Dal@Hou 08:00PM ET,14.688,Dal
PF,Josh Smith,3300,Det@LAC 03:30PM ET,14.361,LAC
PG,Patrick Beverley,3300,Dal@Hou 08:00PM ET,13.667,Hou
SF,Lance Stephenson,3300,Det@LAC 03:30PM ET,14.389,LAC
SF,Stanley Johnson,3300,Det@LAC 03:30PM ET,15.406,Det
PF,Channing Frye,3200,Orl@Was 07:00PM ET,16.000,Orl
SG,Gary Neal,3200,Orl@Was 07:00PM ET,11.750,Was
PG,Leandro Barbosa,3200,Bkn@GS 10:30PM ET,12.611,GS
PG,Ramon Sessions,3200,Orl@Was 07:00PM ET,17.643,Was
PF,Jon Leuer,3200,Den@Pho 09:00PM ET,16.875,Pho
PG,Patty Mills,3200,Phi@SA 08:30PM ET,17.125,SA
PG,Shabazz Napier,3200,Orl@Was 07:00PM ET,8.719,Orl
SG,Austin Rivers,3200,Det@LAC 03:30PM ET,14.556,LAC
PF,Johnny O'Bryant,3200,Cle@Mil 08:30PM ET,13.778,Mil
SG,Rondae Hollis-Jefferson,3200,Bkn@GS 10:30PM ET,13.906,Bkn
PF,David West,3100,Phi@SA 08:30PM ET,11.969,SA
PG,C.J. Watson,3100,Orl@Was 07:00PM ET,13.875,Orl
PF,Boris Diaw,3100,Phi@SA 08:30PM ET,16.000,SA
SG,John Jenkins,3100,Dal@Hou 08:00PM ET,11.333,Dal
PG,Shane Larkin,3100,Bkn@GS 10:30PM ET,14.875,Bkn
PF,Richaun Holmes,3100,Phi@SA 08:30PM ET,10.714,Phi
PG,Jason Terry,3000,Dal@Hou 08:00PM ET,4.500,Hou
SG,Mike Miller,3000,Den@Pho 09:00PM ET,3.833,Den
PF,Matt Bonner,3000,Phi@SA 08:30PM ET,1.250,SA
PG,Steve Blake,3000,Det@LAC 03:30PM ET,10.719,Det
SG,James Jones,3000,Cle@Mil 08:30PM ET,4.625,Cle
SG,Alan Anderson,3000,Orl@Was 07:00PM ET,0,Was
PG,Ronnie Price,3000,Den@Pho 09:00PM ET,9.250,Pho
PF,Drew Gooden,3000,Orl@Was 07:00PM ET,13.950,Was
SG,Rasual Butler,3000,Phi@SA 08:30PM ET,9.000,SA
PG,Randy Foye,3000,Den@Pho 09:00PM ET,9.906,Den
PF,Chris Copeland,3000,Cle@Mil 08:30PM ET,6.188,Mil
PF,Charlie Villanueva,3000,Dal@Hou 08:00PM ET,14.179,Dal
PF,Anthony Tolliver,3000,Det@LAC 03:30PM ET,11.036,Det
SF,Jared Dudley,3000,Orl@Was 07:00PM ET,12.083,Was
PG,Shaun Livingston,3000,Bkn@GS 10:30PM ET,11.300,GS
C,Anderson Varejao,3000,Cle@Mil 08:30PM ET,6.143,Cle
PF,Carl Landry,3000,Phi@SA 08:30PM ET,0,Phi
C,Sasha Kaun,3000,Cle@Mil 08:30PM ET,3.125,Cle
PF,Jason Smith,3000,Orl@Was 07:00PM ET,10.833,Orl
SG,Garrett Temple,3000,Orl@Was 07:00PM ET,4.800,Was
PF,Joel Anthony,3000,Det@LAC 03:30PM ET,0,Det
PF,Jason Thompson,3000,Bkn@GS 10:30PM ET,6.650,GS
SF,Martell Webster,3000,Orl@Was 07:00PM ET,0,Was
SF,Luc Richard Mbah a Moute,3000,Det@LAC 03:30PM ET,2.679,LAC
C,Aron Baynes,3000,Det@LAC 03:30PM ET,8.250,Det
SG,Brandon Rush,3000,Bkn@GS 10:30PM ET,6.000,GS
C,Andrea Bargnani,3000,Bkn@GS 10:30PM ET,9.094,Bkn
SF,Wesley Johnson,3000,Det@LAC 03:30PM ET,9.444,LAC
SG,Wayne Ellington,3000,Bkn@GS 10:30PM ET,7.594,Bkn
SG,Jodie Meeks,3000,Det@LAC 03:30PM ET,2.000,Det
PF,Darrell Arthur,3000,Den@Pho 09:00PM ET,13.188,Den
PG,Donald Sloan,3000,Bkn@GS 10:30PM ET,4.000,Bkn
C,Marreese Speights,3000,Bkn@GS 10:30PM ET,11.889,GS
SG,Sonny Weems,3000,Den@Pho 09:00PM ET,4.607,Pho
C,JaVale McGee,3000,Dal@Hou 08:00PM ET,0,Dal
SF,Jeremy Evans,3000,Dal@Hou 08:00PM ET,6.250,Dal
C,Cole Aldrich,3000,Det@LAC 03:30PM ET,2.833,LAC
C,DeJuan Blair,3000,Orl@Was 07:00PM ET,6.667,Was
PF,Andrew Nicholson,3000,Orl@Was 07:00PM ET,0.750,Orl
C,Miles Plumlee,3000,Cle@Mil 08:30PM ET,6.219,Mil
SF,Willie Reed,3000,Bkn@GS 10:30PM ET,0,Bkn
SG,Ian Clark,3000,Bkn@GS 10:30PM ET,6.833,GS
SG,C.J. Wilcox,3000,Det@LAC 03:30PM ET,0,LAC
PF,Cory Jefferson,3000,Den@Pho 09:00PM ET,0,Pho
PF,Thomas Robinson,3000,Bkn@GS 10:30PM ET,13.219,Bkn
SG,Jared Cunningham,3000,Cle@Mil 08:30PM ET,5.857,Cle
SG,Joe Harris,3000,Cle@Mil 08:30PM ET,2.563,Cle
PG,Phil Pressey,3000,Phi@SA 08:30PM ET,11.650,Phi
PG,Kendall Marshall,3000,Phi@SA 08:30PM ET,0,Phi
SF,Reggie Bullock,3000,Det@LAC 03:30PM ET,0.500,Det
PG,Pablo Prigioni,3000,Det@LAC 03:30PM ET,7.188,LAC
SG,Markel Brown,3000,Bkn@GS 10:30PM ET,8.800,Bkn
C,Boban Marjanovic,3000,Phi@SA 08:30PM ET,4.750,SA
SF,Jonathon Simmons,3000,Phi@SA 08:30PM ET,0,SA
SF,Devyn Marble,3000,Orl@Was 07:00PM ET,3.250,Orl
C,Salah Mejri,3000,Dal@Hou 08:00PM ET,2.350,Dal
PG,Ray McCallum,3000,Phi@SA 08:30PM ET,1.550,SA
SG,Darrun Hilliard,3000,Det@LAC 03:30PM ET,0,Det
PG,Spencer Dinwiddie,3000,Det@LAC 03:30PM ET,2.250,Det
SF,K.J. McDaniels,3000,Dal@Hou 08:00PM ET,1.750,Hou
SF,Branden Dawson,3000,Det@LAC 03:30PM ET,0,LAC
PF,James Michael McAdoo,3000,Bkn@GS 10:30PM ET,4.389,GS
SF,Jakarr Sampson,3000,Phi@SA 08:30PM ET,10.094,Phi
C,Alex Len,3000,Den@Pho 09:00PM ET,13.906,Pho
SF,Mirza Teletovic,3000,Den@Pho 09:00PM ET,6.250,Pho
SF,Kostas Papanikolaou,3000,Den@Pho 09:00PM ET,5.188,Den
SF,Sergey Karasev,3000,Bkn@GS 10:30PM ET,1.583,Bkn
SF,Sam Dekker,3000,Dal@Hou 08:00PM ET,1.083,Hou
SF,Kyle Anderson,3000,Phi@SA 08:30PM ET,5.031,SA
SF,Justin Anderson,3000,Dal@Hou 08:00PM ET,7.571,Dal
PF,Montrezl Harrell,3000,Dal@Hou 08:00PM ET,8.357,Hou
SG,Archie Goodwin,3000,Den@Pho 09:00PM ET,6.750,Pho
PF,Christian Wood,3000,Phi@SA 08:30PM ET,6.036,Phi
PG,Tyler Ennis,3000,Cle@Mil 08:30PM ET,9.450,Mil
C,Joel Embiid,3000,Phi@SA 08:30PM ET,0,Phi
SF,Damien Inglis,3000,Cle@Mil 08:30PM ET,4.800,Mil
C,Nikola Jokic,3000,Den@Pho 09:00PM ET,14.393,Den
SG,Mario Hezonja,3000,Orl@Was 07:00PM ET,7.833,Orl
SF,Kelly Oubre Jr.,3000,Orl@Was 07:00PM ET,6.813,Was
SG,Devin Booker,3000,Den@Pho 09:00PM ET,6.350,Pho
PF,Kevon Looney,3000,Bkn@GS 10:30PM ET,0,GS
SG,Rashad Vaughn,3000,Cle@Mil 08:30PM ET,3.667,Mil
PF,Chris McCullough,3000,Bkn@GS 10:30PM ET,0,Bkn
