Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3248,Vince,Carter,SG,MEM,NO,MEM@NO,8:00PM EST,10,8.0, 
nba.p.3531,Zach,Randolph,PF,MEM,NO,MEM@NO,8:00PM EST,26,25.5, 
nba.p.3643,Matt,Barnes,SF,MEM,NO,MEM@NO,8:00PM EST,20,20.8, 
nba.p.3842,Tony,Allen,SF,MEM,NO,MEM@NO,8:00PM EST,10,16.9, 
nba.p.4179,Ryan,Hollins,C,MEM,NO,MEM@NO,8:00PM EST,10,7.0, 
nba.p.4246,Mike,Conley,PG,MEM,NO,MEM@NO,8:00PM EST,27,29.5, 
nba.p.4247,Jeff,Green,PF,MEM,NO,MEM@NO,8:00PM EST,19,21.1, 
nba.p.4286,Brandan,Wright,PF,MEM,NO,MEM@NO,8:00PM EST,10,14.1,INJ
nba.p.4325,Marc,Gasol,C,MEM,NO,MEM@NO,8:00PM EST,31,33.6, 
nba.p.4484,Courtney,Lee,SG,MEM,NO,MEM@NO,8:00PM EST,11,17.7, 
nba.p.4496,Mario,Chalmers,PG,MEM,NO,MEM@NO,8:00PM EST,14,20.2, 
nba.p.5220,James,Ennis,SG,MEM,NO,MEM@NO,8:00PM EST,10,3.3, 
nba.p.5262,JaMychal,Green,PF,MEM,NO,MEM@NO,8:00PM EST,10,11.1, 
nba.p.5333,Jordan,Adams,SG,MEM,NO,MEM@NO,8:00PM EST,10,9.0,INJ
nba.p.5485,Jarell,Martin,PF,MEM,NO,MEM@NO,8:00PM EST,10,1.0, 
nba.p.3730,Kendrick,Perkins,C,NO,MEM,MEM@NO,8:00PM EST,10,5.3, 
nba.p.4469,Eric,Gordon,SG,NO,MEM,MEM@NO,8:00PM EST,21,23.6,INJ
nba.p.4482,Alexis,Ajinca,C,NO,MEM,MEM@NO,8:00PM EST,10,11.3, 
nba.p.4483,Ryan,Anderson,PF,NO,MEM,MEM@NO,8:00PM EST,27,28.3, 
nba.p.4499,Omer,Asik,C,NO,MEM,MEM@NO,8:00PM EST,10,11.5, 
nba.p.4564,Tyreke,Evans,SG,NO,MEM,MEM@NO,8:00PM EST,27,32.1,GTD
nba.p.4622,Jrue,Holiday,PG,NO,MEM,MEM@NO,8:00PM EST,27,27.1, 
nba.p.4634,Toney,Douglas,SG,NO,MEM,MEM@NO,8:00PM EST,10,12.5, 
nba.p.4638,Dante,Cunningham,SF,NO,MEM,MEM@NO,8:00PM EST,10,10.4, 
nba.p.4686,Alonzo,Gee,SF,NO,MEM,MEM@NO,8:00PM EST,11,11.4, 
nba.p.4731,Luke,Babbitt,SF,NO,MEM,MEM@NO,8:00PM EST,10,7.6, 
nba.p.4757,Quincy,Pondexter,SG,NO,MEM,MEM@NO,8:00PM EST,16,0.0,INJ
nba.p.4910,Norris,Cole,PG,NO,MEM,MEM@NO,8:00PM EST,12,17.7, 
nba.p.5007,Anthony,Davis,PF,NO,MEM,MEM@NO,8:00PM EST,55,43.4,GTD
nba.p.5540,Bryce,Dejean-Jones,SG,NO,MEM,MEM@NO,8:00PM EST,10,11.2, 
nba.p.3934,Channing,Frye,PF,ORL,SA,ORL@SA,8:30PM EST,10,12.6, 
nba.p.4298,Jason,Smith,C,ORL,SA,ORL@SA,8:30PM EST,10,11.2, 
nba.p.4354,C.J.,Watson,PG,ORL,SA,ORL@SA,8:30PM EST,10,13.6,INJ
nba.p.4897,Nikola,Vucevic,C,ORL,SA,ORL@SA,8:30PM EST,34,33.7, 
nba.p.4901,Tobias,Harris,SF,ORL,SA,ORL@SA,8:30PM EST,28,27.5, 
nba.p.5025,Andrew,Nicholson,PF,ORL,SA,ORL@SA,8:30PM EST,10,12.2, 
nba.p.5054,Evan,Fournier,SG,ORL,SA,ORL@SA,8:30PM EST,22,23.5, 
nba.p.5153,Victor,Oladipo,PG,ORL,SA,ORL@SA,8:30PM EST,28,27.4, 
nba.p.5256,Dewayne,Dedmon,C,ORL,SA,ORL@SA,8:30PM EST,10,9.2, 
nba.p.5295,Aaron,Gordon,SF,ORL,SA,ORL@SA,8:30PM EST,15,18.1, 
nba.p.5321,Elfrid,Payton,PG,ORL,SA,ORL@SA,8:30PM EST,21,24.6, 
nba.p.5335,Shabazz,Napier,PG,ORL,SA,ORL@SA,8:30PM EST,10,9.1, 
nba.p.5367,Devyn,Marble,SG,ORL,SA,ORL@SA,8:30PM EST,10,0.8, 
nba.p.5396,Keith,Appling,PG,ORL,SA,ORL@SA,8:30PM EST,10,2.6, 
nba.p.5465,Mario,Hezonja,SG,ORL,SA,ORL@SA,8:30PM EST,10,8.3, 
nba.p.3173,Tim,Duncan,C,SA,ORL,ORL@SA,8:30PM EST,18,25.2,INJ
nba.p.3380,Manu,Ginobili,SG,SA,ORL,ORL@SA,8:30PM EST,12,20.1, 
nba.p.3527,Tony,Parker,PG,SA,ORL,ORL@SA,8:30PM EST,20,24.0, 
nba.p.3650,Rasual,Butler,SG,SA,ORL,ORL@SA,8:30PM EST,10,6.5, 
nba.p.3721,David,West,PF,SA,ORL,ORL@SA,8:30PM EST,12,15.4, 
nba.p.3724,Boris,Diaw,C,SA,ORL,ORL@SA,8:30PM EST,10,14.7, 
nba.p.3748,Matt,Bonner,PF,SA,ORL,ORL@SA,8:30PM EST,10,4.2, 
nba.p.4130,LaMarcus,Aldridge,PF,SA,ORL,ORL@SA,8:30PM EST,32,29.2, 
nba.p.4651,Danny,Green,SG,SA,ORL,ORL@SA,8:30PM EST,10,16.8, 
nba.p.4660,Patty,Mills,PG,SA,ORL,ORL@SA,8:30PM EST,10,15.0, 
nba.p.4896,Kawhi,Leonard,SF,SA,ORL,ORL@SA,8:30PM EST,45,36.8, 
nba.p.5206,Ray,McCallum,PG,SA,ORL,ORL@SA,8:30PM EST,10,6.6, 
nba.p.5341,Kyle,Anderson,SF,SA,ORL,ORL@SA,8:30PM EST,10,9.4, 
nba.p.5524,Boban,Marjanovic,C,SA,ORL,ORL@SA,8:30PM EST,12,11.6, 
nba.p.5526,Jonathon,Simmons,SF,SA,ORL,ORL@SA,8:30PM EST,10,10.0, 
nba.p.3741,Steve,Blake,SG,DET,BKN,DET@BKN,7:30PM EST,10,10.9, 
nba.p.3962,Ersan,Ilyasova,PF,DET,BKN,DET@BKN,7:30PM EST,22,21.8, 
nba.p.4339,Joel,Anthony,PF,DET,BKN,DET@BKN,7:30PM EST,10,3.0, 
nba.p.4371,Anthony,Tolliver,PF,DET,BKN,DET@BKN,7:30PM EST,10,12.3, 
nba.p.4615,Brandon,Jennings,PG,DET,BKN,DET@BKN,7:30PM EST,15,15.2, 
nba.p.4646,Jodie,Meeks,SG,DET,BKN,DET@BKN,7:30PM EST,10,1.7,INJ
nba.p.4895,Marcus,Morris,SF,DET,BKN,DET@BKN,7:30PM EST,23,24.3, 
nba.p.4906,Reggie,Jackson,PG,DET,BKN,DET@BKN,7:30PM EST,32,32.7, 
nba.p.5015,Andre,Drummond,C,DET,BKN,DET@BKN,7:30PM EST,42,40.7, 
nba.p.5150,Aron,Baynes,C,DET,BKN,DET@BKN,7:30PM EST,10,13.0, 
nba.p.5159,Kentavious,Caldwell-Pope,SG,DET,BKN,DET@BKN,7:30PM EST,23,25.2, 
nba.p.5195,Reggie,Bullock,SG,DET,BKN,DET@BKN,7:30PM EST,10,1.2, 
nba.p.5349,Spencer,Dinwiddie,PG,DET,BKN,DET@BKN,7:30PM EST,10,7.8, 
nba.p.5468,Stanley,Johnson,SF,DET,BKN,DET@BKN,7:30PM EST,10,16.3, 
nba.p.5498,Darrun,Hilliard,SG,DET,BKN,DET@BKN,7:30PM EST,10,4.1, 
nba.p.3520,Joe,Johnson,SF,BKN,DET,DET@BKN,7:30PM EST,18,22.2, 
nba.p.3948,Jarrett,Jack,SG,BKN,DET,DET@BKN,7:30PM EST,25,29.1,INJ
nba.p.4129,Andrea,Bargnani,C,BKN,DET,DET@BKN,7:30PM EST,10,9.6, 
nba.p.4290,Thaddeus,Young,PF,BKN,DET,DET@BKN,7:30PM EST,32,30.3, 
nba.p.4472,Brook,Lopez,C,BKN,DET,DET@BKN,7:30PM EST,35,35.8, 
nba.p.4633,Wayne,Ellington,SG,BKN,DET,DET@BKN,7:30PM EST,10,12.0, 
nba.p.4836,Donald,Sloan,PG,BKN,DET,DET@BKN,7:30PM EST,13,14.3, 
nba.p.4913,Bojan,Bogdanovic,SF,BKN,DET,DET@BKN,7:30PM EST,10,15.2, 
nba.p.5011,Thomas,Robinson,PF,BKN,DET,DET@BKN,7:30PM EST,10,9.0, 
nba.p.5146,Willie,Reed,PF,BKN,DET,DET@BKN,7:30PM EST,10,8.6, 
nba.p.5188,Shane,Larkin,PG,BKN,DET,DET@BKN,7:30PM EST,11,16.4, 
nba.p.5189,Sergey,Karasev,SG,BKN,DET,DET@BKN,7:30PM EST,10,2.5, 
nba.p.5355,Markel,Brown,SG,BKN,DET,DET@BKN,7:30PM EST,10,5.7, 
nba.p.5483,Rondae,Hollis-Jefferson,SG,BKN,DET,DET@BKN,7:30PM EST,10,17.3,INJ
nba.p.5489,Chris,McCullough,PF,BKN,DET,DET@BKN,7:30PM EST,10,0.0,INJ
nba.p.4389,O.J.,Mayo,SG,MIL,SAC,MIL@SAC,10:00PM EST,11,18.5,INJ
nba.p.4473,Jerryd,Bayless,PG,MIL,SAC,MIL@SAC,10:00PM EST,14,20.4, 
nba.p.4722,Greg,Monroe,C,MIL,SAC,MIL@SAC,10:00PM EST,30,33.3, 
nba.p.4759,Greivis,Vasquez,SG,MIL,SAC,MIL@SAC,10:00PM EST,10,15.8,INJ
nba.p.5020,John,Henson,C,MIL,SAC,MIL@SAC,10:00PM EST,10,16.2,O
nba.p.5060,Miles,Plumlee,PF,MIL,SAC,MIL@SAC,10:00PM EST,10,6.8, 
nba.p.5073,Khris,Middleton,SG,MIL,SAC,MIL@SAC,10:00PM EST,33,29.8, 
nba.p.5096,Chris,Copeland,SF,MIL,SAC,MIL@SAC,10:00PM EST,10,3.5, 
nba.p.5162,Michael,Carter-Williams,PG,MIL,SAC,MIL@SAC,10:00PM EST,29,27.6, 
nba.p.5185,Giannis,Antetokounmpo,SF,MIL,SAC,MIL@SAC,10:00PM EST,34,30.6, 
nba.p.5293,Jabari,Parker,PF,MIL,SAC,MIL@SAC,10:00PM EST,18,20.5, 
nba.p.5329,Tyler,Ennis,PG,MIL,SAC,MIL@SAC,10:00PM EST,10,5.3, 
nba.p.5342,Damien,Inglis,SF,MIL,SAC,MIL@SAC,10:00PM EST,10,2.8, 
nba.p.5347,Johnny,O'Bryant,PF,MIL,SAC,MIL@SAC,10:00PM EST,10,8.4, 
nba.p.5477,Rashad,Vaughn,SF,MIL,SAC,MIL@SAC,10:00PM EST,10,5.2, 
nba.p.3608,Caron,Butler,SF,SAC,MIL,MIL@SAC,10:00PM EST,10,5.6, 
nba.p.4136,Rudy,Gay,SF,SAC,MIL,MIL@SAC,10:00PM EST,28,31.5,O
nba.p.4149,Rajon,Rondo,PG,SAC,MIL,MIL@SAC,10:00PM EST,41,37.6, 
nba.p.4296,Marco,Belinelli,SG,SAC,MIL,MIL@SAC,10:00PM EST,10,16.4, 
nba.p.4485,Kosta,Koufos,C,SAC,MIL,MIL@SAC,10:00PM EST,10,16.3, 
nba.p.4626,Darren,Collison,PG,SAC,MIL,MIL@SAC,10:00PM EST,17,22.1, 
nba.p.4628,Omri,Casspi,SF,SAC,MIL,MIL@SAC,10:00PM EST,26,23.8, 
nba.p.4720,DeMarcus,Cousins,PF,SAC,MIL,MIL@SAC,10:00PM EST,55,47.0, 
nba.p.4751,James,Anderson,SG,SAC,MIL,MIL@SAC,10:00PM EST,10,4.7, 
nba.p.5071,Quincy,Acy,PF,SAC,MIL,MIL@SAC,10:00PM EST,10,8.9, 
nba.p.5158,Ben,McLemore,SG,SAC,MIL,MIL@SAC,10:00PM EST,10,13.1, 
nba.p.5245,Seth,Curry,PG,SAC,MIL,MIL@SAC,10:00PM EST,10,6.3, 
nba.p.5374,Eric,Moreland,PF,SAC,MIL,MIL@SAC,10:00PM EST,10,3.8,INJ
nba.p.5466,Willie,Cauley-Stein,C,SAC,MIL,MIL@SAC,10:00PM EST,14,16.2, 
nba.p.5525,Duje,Dukan,SF,SAC,MIL,MIL@SAC,10:00PM EST,10,0.0,INJ
nba.p.3523,Richard,Jefferson,SF,CLE,IND,CLE@IND,7:00PM EST,10,10.1, 
nba.p.3704,LeBron,James,SF,CLE,IND,CLE@IND,7:00PM EST,53,44.5, 
nba.p.3750,Mo,Williams,SG,CLE,IND,CLE@IND,7:00PM EST,10,17.1, 
nba.p.3752,James,Jones,SG,CLE,IND,CLE@IND,7:00PM EST,10,6.1, 
nba.p.3835,J.R.,Smith,SG,CLE,IND,CLE@IND,7:00PM EST,19,21.3, 
nba.p.3847,Anderson,Varejao,PF,CLE,IND,CLE@IND,7:00PM EST,10,6.9, 
nba.p.4391,Kevin,Love,PF,CLE,IND,CLE@IND,7:00PM EST,35,34.5, 
nba.p.4518,Sasha,Kaun,C,CLE,IND,CLE@IND,7:00PM EST,10,2.8, 
nba.p.4794,Timofey,Mozgov,C,CLE,IND,CLE@IND,7:00PM EST,10,13.3, 
nba.p.4840,Kyrie,Irving,PG,CLE,IND,CLE@IND,7:00PM EST,30,26.7, 
nba.p.4884,Tristan,Thompson,PF,CLE,IND,CLE@IND,7:00PM EST,18,20.9, 
nba.p.4898,Iman,Shumpert,SG,CLE,IND,CLE@IND,7:00PM EST,10,14.4, 
nba.p.5058,Jared,Cunningham,SG,CLE,IND,CLE@IND,7:00PM EST,10,5.0, 
nba.p.5249,Matthew,Dellavedova,PG,CLE,IND,CLE@IND,7:00PM EST,10,19.5, 
nba.p.3954,Ian,Mahinmi,C,IND,CLE,CLE@IND,7:00PM EST,12,21.8, 
nba.p.3960,C.J.,Miles,SF,IND,CLE,CLE@IND,7:00PM EST,17,20.5, 
nba.p.3966,Monta,Ellis,SG,IND,CLE,CLE@IND,7:00PM EST,27,27.8, 
nba.p.4293,Rodney,Stuckey,SG,IND,CLE,CLE@IND,7:00PM EST,10,18.5,INJ
nba.p.4488,George,Hill,PG,IND,CLE,CLE@IND,7:00PM EST,16,24.8, 
nba.p.4613,Jordan,Hill,C,IND,CLE,CLE@IND,7:00PM EST,14,20.4, 
nba.p.4649,Chase,Budinger,SG,IND,CLE,CLE@IND,7:00PM EST,10,10.2, 
nba.p.4725,Paul,George,SF,IND,CLE,CLE@IND,7:00PM EST,47,39.9, 
nba.p.4932,Lavoy,Allen,PF,IND,CLE,CLE@IND,7:00PM EST,10,14.5, 
nba.p.5193,Solomon,Hill,SG,IND,CLE,CLE@IND,7:00PM EST,10,7.6, 
nba.p.5351,Glenn,Robinson III,SG,IND,CLE,CLE@IND,7:00PM EST,10,7.4, 
nba.p.5378,Shayne,Whittington,C,IND,CLE,CLE@IND,7:00PM EST,10,3.8, 
nba.p.5471,Myles,Turner,PF,IND,CLE,CLE@IND,7:00PM EST,14,17.7, 
nba.p.5496,Rakeem,Christmas,PF,IND,CLE,CLE@IND,7:00PM EST,10,0.0, 
nba.p.5503,Joe,Young,PG,IND,CLE,CLE@IND,7:00PM EST,10,7.9, 
nba.p.3513,Pau,Gasol,C,CHI,UTA,CHI@UTA,9:00PM EST,41,38.0, 
nba.p.3601,Mike,Dunleavy,SG,CHI,UTA,CHI@UTA,9:00PM EST,18,0.0,INJ
nba.p.3710,Kirk,Hinrich,SG,CHI,UTA,CHI@UTA,9:00PM EST,10,8.4,INJ
nba.p.4287,Joakim,Noah,PF,CHI,UTA,CHI@UTA,9:00PM EST,19,21.9,INJ
nba.p.4304,Aaron,Brooks,PG,CHI,UTA,CHI@UTA,9:00PM EST,10,14.0, 
nba.p.4387,Derrick,Rose,PG,CHI,UTA,CHI@UTA,9:00PM EST,23,25.6,GTD
nba.p.4631,Taj,Gibson,PF,CHI,UTA,CHI@UTA,9:00PM EST,22,20.3, 
nba.p.4905,Nikola,Mirotic,PF,CHI,UTA,CHI@UTA,9:00PM EST,21,22.1,INJ
nba.p.4912,Jimmy,Butler,SG,CHI,UTA,CHI@UTA,9:00PM EST,45,38.3, 
nba.p.4937,E'Twaun,Moore,SG,CHI,UTA,CHI@UTA,9:00PM EST,10,9.4,GTD
nba.p.5190,Tony,Snell,SF,CHI,UTA,CHI@UTA,9:00PM EST,10,11.9, 
nba.p.5322,Doug,McDermott,SF,CHI,UTA,CHI@UTA,9:00PM EST,10,12.0, 
nba.p.5360,Cameron,Bairstow,PF,CHI,UTA,CHI@UTA,9:00PM EST,10,3.0, 
nba.p.5482,Bobby,Portis,C,CHI,UTA,CHI@UTA,9:00PM EST,10,13.1, 
nba.p.5522,Cristiano,Felicio,C,CHI,UTA,CHI@UTA,9:00PM EST,10,1.8, 
nba.p.4718,Derrick,Favors,PF,UTA,CHI,CHI@UTA,9:00PM EST,33,32.4, 
nba.p.4724,Gordon,Hayward,SF,UTA,CHI,CHI@UTA,9:00PM EST,36,32.5, 
nba.p.4754,Trevor,Booker,PF,UTA,CHI,CHI@UTA,9:00PM EST,14,17.1, 
nba.p.4762,Tibor,Pleiss,C,UTA,CHI,CHI@UTA,9:00PM EST,10,3.6, 
nba.p.4893,Alec,Burks,SG,UTA,CHI,CHI@UTA,9:00PM EST,19,22.0,INJ
nba.p.5133,Chris,Johnson,SF,UTA,CHI,CHI@UTA,9:00PM EST,10,7.5, 
nba.p.5160,Trey,Burke,PG,UTA,CHI,CHI@UTA,9:00PM EST,19,19.7, 
nba.p.5197,Rudy,Gobert,C,UTA,CHI,CHI@UTA,9:00PM EST,27,29.3, 
nba.p.5209,Jeff,Withey,C,UTA,CHI,CHI@UTA,9:00PM EST,10,13.0, 
nba.p.5216,Erick,Green,SG,UTA,CHI,CHI@UTA,9:00PM EST,10,2.1, 
nba.p.5217,Raul,Neto,PG,UTA,CHI,CHI@UTA,9:00PM EST,10,11.7, 
nba.p.5316,Dante,Exum,PG,UTA,CHI,CHI@UTA,9:00PM EST,10,0.0,INJ
nba.p.5334,Rodney,Hood,SG,UTA,CHI,CHI@UTA,9:00PM EST,22,23.6, 
nba.p.5393,Joe,Ingles,SG,UTA,CHI,CHI@UTA,9:00PM EST,10,8.9, 
nba.p.5472,Trey,Lyles,PF,UTA,CHI,CHI@UTA,9:00PM EST,12,11.2, 
nba.p.3653,Luis,Scola,PF,TOR,DEN,TOR@DEN,9:00PM EST,18,19.3, 
nba.p.4152,Kyle,Lowry,PG,TOR,DEN,TOR@DEN,9:00PM EST,44,40.4,GTD
nba.p.4614,DeMar,DeRozan,SG,TOR,DEN,TOR@DEN,9:00PM EST,41,35.4, 
nba.p.4621,James,Johnson,SF,TOR,DEN,TOR@DEN,9:00PM EST,10,10.7,O
nba.p.4632,DeMarre,Carroll,SF,TOR,DEN,TOR@DEN,9:00PM EST,17,22.3,INJ
nba.p.4729,Patrick,Patterson,PF,TOR,DEN,TOR@DEN,9:00PM EST,10,15.1,GTD
nba.p.4886,Jonas,Valanciunas,C,TOR,DEN,TOR@DEN,9:00PM EST,25,26.5, 
nba.p.4888,Bismack,Biyombo,C,TOR,DEN,TOR@DEN,9:00PM EST,10,18.4, 
nba.p.4911,Cory,Joseph,PG,TOR,DEN,TOR@DEN,9:00PM EST,10,17.3, 
nba.p.5014,Terrence,Ross,SG,TOR,DEN,TOR@DEN,9:00PM EST,10,15.0, 
nba.p.5152,Anthony,Bennett,SF,TOR,DEN,TOR@DEN,9:00PM EST,10,3.4, 
nba.p.5186,Lucas,Nogueira,C,TOR,DEN,TOR@DEN,9:00PM EST,10,6.0, 
nba.p.5331,Bruno,Caboclo,SF,TOR,DEN,TOR@DEN,9:00PM EST,10,1.1, 
nba.p.5480,Delon,Wright,PG,TOR,DEN,TOR@DEN,9:00PM EST,10,1.6, 
nba.p.5506,Norman,Powell,SG,TOR,DEN,TOR@DEN,9:00PM EST,10,3.0, 
nba.p.3404,Mike,Miller,SG,DEN,TOR,TOR@DEN,9:00PM EST,10,4.8, 
nba.p.3837,Jameer,Nelson,PG,DEN,TOR,TOR@DEN,9:00PM EST,12,19.4,INJ
nba.p.4135,Randy,Foye,SG,DEN,TOR,TOR@DEN,9:00PM EST,10,11.9, 
nba.p.4301,Wilson,Chandler,SG,DEN,TOR,TOR@DEN,9:00PM EST,24,0.0,INJ
nba.p.4468,Danilo,Gallinari,SF,DEN,TOR,TOR@DEN,9:00PM EST,34,31.6, 
nba.p.4481,J.J.,Hickson,PF,DEN,TOR,TOR@DEN,9:00PM EST,10,15.4, 
nba.p.4489,Darrell,Arthur,PF,DEN,TOR,TOR@DEN,9:00PM EST,12,16.2,GTD
nba.p.4904,Kenneth,Faried,PF,DEN,TOR,TOR@DEN,9:00PM EST,22,26.4, 
nba.p.5074,Will,Barton,SF,DEN,TOR,TOR@DEN,9:00PM EST,27,28.0, 
nba.p.5225,Joffrey,Lauvergne,PF,DEN,TOR,TOR@DEN,9:00PM EST,10,16.9,GTD
nba.p.5327,Jusuf,Nurkic,C,DEN,TOR,TOR@DEN,9:00PM EST,10,15.0, 
nba.p.5330,Gary,Harris,SG,DEN,TOR,TOR@DEN,9:00PM EST,13,19.3, 
nba.p.5352,Nikola,Jokic,C,DEN,TOR,TOR@DEN,9:00PM EST,11,20.7,GTD
nba.p.5428,Sean,Kilpatrick,SG,DEN,TOR,TOR@DEN,9:00PM EST,10,5.6, 
nba.p.5467,Emmanuel,Mudiay,PG,DEN,TOR,TOR@DEN,9:00PM EST,22,23.5, 
nba.p.3252,Dirk,Nowitzki,PF,DAL,ATL,DAL@ATL,8:00PM EST,27,30.6, 
nba.p.3745,Zaza,Pachulia,C,DAL,ATL,DAL@ATL,8:00PM EST,20,27.1,INJ
nba.p.3822,Devin,Harris,SG,DAL,ATL,DAL@ATL,8:00PM EST,10,14.7,GTD
nba.p.3929,Deron,Williams,PG,DAL,ATL,DAL@ATL,8:00PM EST,26,26.7, 
nba.p.3931,Raymond,Felton,PG,DAL,ATL,DAL@ATL,8:00PM EST,10,19.2, 
nba.p.3933,Charlie,Villanueva,PF,DAL,ATL,DAL@ATL,8:00PM EST,10,10.6, 
nba.p.4203,J.J.,Barea,SG,DAL,ATL,DAL@ATL,8:00PM EST,12,17.8, 
nba.p.4480,JaVale,McGee,C,DAL,ATL,DAL@ATL,8:00PM EST,10,12.0, 
nba.p.4694,Wesley,Matthews,SG,DAL,ATL,DAL@ATL,8:00PM EST,19,21.6, 
nba.p.4786,Jeremy,Evans,SF,DAL,ATL,DAL@ATL,8:00PM EST,10,5.8, 
nba.p.4920,Chandler,Parsons,SF,DAL,ATL,DAL@ATL,8:00PM EST,27,21.9, 
nba.p.5057,John,Jenkins,SG,DAL,ATL,DAL@ATL,8:00PM EST,10,4.8, 
nba.p.5356,Dwight,Powell,PF,DAL,ATL,DAL@ATL,8:00PM EST,10,14.8, 
nba.p.5481,Justin,Anderson,SF,DAL,ATL,DAL@ATL,8:00PM EST,10,4.9, 
nba.p.5536,Salah,Mejri,C,DAL,ATL,DAL@ATL,8:00PM EST,10,9.7, 
nba.p.3754,Kyle,Korver,SG,ATL,DAL,DAL@ATL,8:00PM EST,14,18.7, 
nba.p.4141,Thabo,Sefolosha,SF,ATL,DAL,DAL@ATL,8:00PM EST,12,17.4, 
nba.p.4175,Paul,Millsap,PF,ATL,DAL,DAL@ATL,8:00PM EST,44,38.0, 
nba.p.4245,Al,Horford,C,ATL,DAL,DAL@ATL,8:00PM EST,31,31.9, 
nba.p.4306,Tiago,Splitter,C,ATL,DAL,DAL@ATL,8:00PM EST,10,12.0, 
nba.p.4624,Jeff,Teague,PG,ATL,DAL,DAL@ATL,8:00PM EST,24,26.8, 
nba.p.4916,Shelvin,Mack,PG,ATL,DAL,DAL@ATL,8:00PM EST,10,7.5, 
nba.p.5077,Mike,Scott,PF,ATL,DAL,DAL@ATL,8:00PM EST,10,11.6, 
nba.p.5102,Kent,Bazemore,SF,ATL,DAL,DAL@ATL,8:00PM EST,25,24.2, 
nba.p.5142,Justin,Holiday,SG,ATL,DAL,DAL@ATL,8:00PM EST,10,5.4, 
nba.p.5187,Dennis,Schroder,PG,ATL,DAL,DAL@ATL,8:00PM EST,13,21.6, 
nba.p.5194,Tim,Hardaway Jr.,SG,ATL,DAL,DAL@ATL,8:00PM EST,10,7.7, 
nba.p.5214,Mike,Muscala,PF,ATL,DAL,DAL@ATL,8:00PM EST,10,7.6, 
nba.p.5354,Walter,Tavares,C,ATL,DAL,DAL@ATL,8:00PM EST,10,6.0, 
nba.p.5359,Lamar,Patterson,SG,ATL,DAL,DAL@ATL,8:00PM EST,10,6.1, 
nba.p.3602,Drew,Gooden,PF,WAS,OKC,WAS@OKC,8:00PM EST,10,10.3, 
nba.p.3605,Nene,Hilario,PF,WAS,OKC,WAS@OKC,8:00PM EST,10,18.3, 
nba.p.3831,Kris,Humphries,PF,WAS,OKC,WAS@OKC,8:00PM EST,10,13.5,INJ
nba.p.3983,Marcin,Gortat,C,WAS,OKC,WAS@OKC,8:00PM EST,29,29.8, 
nba.p.3995,Alan,Anderson,SG,WAS,OKC,WAS@OKC,8:00PM EST,10,0.0,INJ
nba.p.4300,Jared,Dudley,PF,WAS,OKC,WAS@OKC,8:00PM EST,14,18.3, 
nba.p.4333,Ramon,Sessions,PG,WAS,OKC,WAS@OKC,8:00PM EST,10,18.1, 
nba.p.4642,DeJuan,Blair,PF,WAS,OKC,WAS@OKC,8:00PM EST,10,5.6, 
nba.p.4682,Garrett,Temple,SG,WAS,OKC,WAS@OKC,8:00PM EST,12,16.8, 
nba.p.4716,John,Wall,PG,WAS,OKC,WAS@OKC,8:00PM EST,50,41.6, 
nba.p.4796,Gary,Neal,SG,WAS,OKC,WAS@OKC,8:00PM EST,10,15.4, 
nba.p.5009,Bradley,Beal,SG,WAS,OKC,WAS@OKC,8:00PM EST,30,28.4,GTD
nba.p.5154,Otto,Porter,SF,WAS,OKC,WAS@OKC,8:00PM EST,26,25.1, 
nba.p.5419,Jarell,Eddie,SG,WAS,OKC,WAS@OKC,8:00PM EST,10,6.6, 
nba.p.5475,Kelly,Oubre Jr.,SF,WAS,OKC,WAS@OKC,8:00PM EST,10,8.3, 
nba.p.3715,Nick,Collison,PF,OKC,WAS,WAS@OKC,8:00PM EST,10,7.6, 
nba.p.4160,Steve,Novak,SF,OKC,WAS,WAS@OKC,8:00PM EST,10,3.2, 
nba.p.4244,Kevin,Durant,SF,OKC,WAS,WAS@OKC,8:00PM EST,53,46.0, 
nba.p.4390,Russell,Westbrook,PG,OKC,WAS,WAS@OKC,8:00PM EST,60,49.3, 
nba.p.4471,D.J.,Augustin,PG,OKC,WAS,WAS@OKC,8:00PM EST,10,9.0, 
nba.p.4486,Serge,Ibaka,PF,OKC,WAS,WAS@OKC,8:00PM EST,27,26.0, 
nba.p.4527,Anthony,Morrow,SG,OKC,WAS,WAS@OKC,8:00PM EST,10,9.0, 
nba.p.4899,Enes,Kanter,C,OKC,WAS,WAS@OKC,8:00PM EST,16,21.9, 
nba.p.4915,Kyle,Singler,SF,OKC,WAS,WAS@OKC,8:00PM EST,10,6.3, 
nba.p.5010,Dion,Waiters,SG,OKC,WAS,WAS@OKC,8:00PM EST,11,17.4, 
nba.p.5163,Steven,Adams,C,OKC,WAS,WAS@OKC,8:00PM EST,10,18.0, 
nba.p.5196,Andre,Roberson,SG,OKC,WAS,WAS@OKC,8:00PM EST,10,12.8,INJ
nba.p.5332,Mitch,McGary,PF,OKC,WAS,WAS@OKC,8:00PM EST,10,2.5, 
nba.p.5340,Josh,Huestis,SF,OKC,WAS,WAS@OKC,8:00PM EST,10,0.0, 
nba.p.5474,Cameron,Payne,PG,OKC,WAS,WAS@OKC,8:00PM EST,10,11.4,GTD
